concept id	name	element file id.obj
FMA43937	right superficial medial plantar artery	FJ2179.obj
FMA43931	right lateral plantar artery	FJ2159.obj
FMA43943	right plantar arch	FJ2169.obj
newnode8085274	right plantar metatarsal artery	FJ2206.obj
FMA71564	right plantar digital arteries	FJ2205.obj
FMA71564	right plantar digital arteries	FJ2204.obj
newnode3671197	right distal perforating artery	FJ2058.obj
newnode5307399	right common plantar digital arteries	FJ2196.obj
newnode7845655	right deep plantar artery	FJ2136.obj
FMA43896	right anterior tibial artery	FJ2130.obj
FMA43916	right dorsalis pedis artery	FJ2055.obj
newnode9011932	dorsal digital arteries of right foot	FJ2141.obj
FMA69490	right lateral tarsal artery	FJ2163.obj
FMA69494	right arcuate artery	FJ2133.obj
FMA43907	right anterior tibial recurrent artery	FJ2131.obj
newnode1255389	right inferior lateral genicular artery	FJ2150.obj
newnode8584553	right inferior medial genicular artery	FJ2152.obj
FMA22586	right medial superior genicular artery	FJ2166.obj
FMA22588	right lateral superior genicular artery	FJ2162.obj
FMA22562	right middle genicular artery	FJ2167.obj
newnode8810479	right fibular artery	FJ2197.obj
FMA22507	right descending genicular artery	FJ2137.obj
FMA20735	right superficial epigastric artery	FJ3614.obj
newnode113113	right deep femoral artery and perforating branches	FJ2127.obj
newnode113113	right deep femoral artery and perforating branches	FJ2203.obj
FMA20801	unknown branch of right deep femoral artery	FJ2158.obj
